SAMPLE_INDEX,FUNCTION_NAME,FUNCTION_INDEX,PEAQ_OBJECTIVE_DIFFERENCE,PEAQ_OBJECTIVE_DIFFERENCE ^ 2.0,PEAQ_OBJECTIVE_DIFFERENCE VARIANCE,COMPRESSION_RATIO,COMPRESSION_RATIO ^ 2.0,COMPRESSION_RATIO VARIANCE
17,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.43018637335777576,0.18506031582271565,0.0
17,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.34414909868622057,0.11843860212653798,0.0
17,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0,0.0,0.17207454934311028,0.029609650531634495,0.0
17,Lame Constant MP3 Compression Bitrate 64,12,0.60325,0.3639105624999999,0.0,0.08603727467155514,0.007402412632908624,0.0
18,Lame MP3 Compression V1,0,0.0915,0.00837225,0.0,0.15130004379309292,0.022891703251791837,0.0
18,Lame MP3 Compression V2,1,0.1,0.010000000000000002,0.0,0.134923463931805,0.018204341119357082,0.0
18,Lame MP3 Compression V3,2,0.11175,0.012488062500000001,0.0,0.12685738728370796,0.01609279670844867,0.0
18,Lame MP3 Compression V4,3,0.282,0.07952399999999998,0.0,0.11292507307335853,0.012752072128623363,0.0
18,Lame MP3 Compression V5,4,0.45425,0.20634306249999998,0.0,0.09752619947244599,0.009511359583539325,0.0
18,Lame MP3 Compression V6,5,0.675,0.45562500000000006,0.0,0.08359388526209657,0.006987937653212567,0.0
18,Lame MP3 Compression V7,6,0.66025,0.4359300625,0.0,0.0760777683854607,0.005787826842511803,0.0
18,Lame MP3 Compression V8,7,0.9105,0.82901025,0.0,0.06831722494373096,0.004667243224012336,0.0
