SAMPLE_INDEX,FUNCTION_NAME,FUNCTION_INDEX,PEAQ_OBJECTIVE_DIFFERENCE,COMPRESSION_RATIO
47,Lame MP3 Compression V4,3,0.0995,0.07301263758662861
47,Lame MP3 Compression V5,4,0.37325,0.04867509172441908
47,Lame MP3 Compression V6,5,0.74675,0.04732980024459845
47,Lame MP3 Compression V7,6,0.745,0.04769669792091317
47,Lame MP3 Compression V8,7,0.7065,0.02445984508764778
47,Lame MP3 Compression V9,8,0,0.01696392172849572
48,Lame MP3 Compression V1,0,0.017,0.13844272319608641
48,Lame MP3 Compression V2,1,0.03675,0.11789645332246229
48,Lame MP3 Compression V3,2,0.058,0.10175295556461476
48,Lame MP3 Compression V4,3,0.129,0.08401956787607012
48,Lame MP3 Compression V5,4,0.3615,0.058336730534039954
48,Lame MP3 Compression V6,5,0.67275,0.04745209947003669
48,Lame MP3 Compression V7,6,0,0.04769669792091317
48,Lame MP3 Compression V8,7,0,0.03314309009376274
48,Lame MP3 Compression V9,8,0,0.02438340807174888
49,Lame MP3 Compression V1,0,0,0.14015491235222177
49,Lame MP3 Compression V2,1,0,0.12278842233999185
49,Lame MP3 Compression V3,2,0,0.11031390134529148
49,Lame MP3 Compression V4,3,0,0.08340807174887892
49,Lame MP3 Compression V5,4,0,0.04916428862617203
49,Lame MP3 Compression V6,5,0,0.04671830411740726
49,Lame MP3 Compression V7,6,0,0.04732980024459845
